id,comment,position,stakeholder,channel
98,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 9）,賛成,一般利用者,紙提出
99,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 9）,反対,市民団体,Webフォーム
100,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 9）,条件付き賛成,地域団体,説明会
101,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 9）,反対,子育て団体,Webフォーム
102,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 9）,反対,自治会,紙提出
103,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 9）,条件付き賛成,高齢者団体,説明会
104,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 9）,条件付き賛成,支援団体,Webフォーム
105,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 9）,説明不足,一般利用者,Webフォーム
106,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 9）,説明不足,市民団体,紙提出
107,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 9）,手続き懸念,地域団体,説明会
108,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 9）,代替案提案,一般利用者,Webフォーム
109,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 10）,条件付き賛成,一般利用者,Webフォーム
110,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 10）,賛成,一般利用者,紙提出
111,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 10）,反対,市民団体,Webフォーム
112,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 10）,条件付き賛成,地域団体,説明会
113,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 10）,反対,子育て団体,Webフォーム
114,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 10）,反対,自治会,紙提出
115,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 10）,条件付き賛成,高齢者団体,説明会
116,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 10）,条件付き賛成,支援団体,Webフォーム
117,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 10）,説明不足,一般利用者,Webフォーム
118,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 10）,説明不足,市民団体,紙提出
119,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 10）,手続き懸念,地域団体,説明会
120,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 10）,代替案提案,一般利用者,Webフォーム
121,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 11）,条件付き賛成,一般利用者,Webフォーム
122,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 11）,賛成,一般利用者,紙提出
123,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 11）,反対,市民団体,Webフォーム
124,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 11）,条件付き賛成,地域団体,説明会
125,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 11）,反対,子育て団体,Webフォーム
126,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 11）,反対,自治会,紙提出
127,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 11）,条件付き賛成,高齢者団体,説明会
128,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 11）,条件付き賛成,支援団体,Webフォーム
129,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 11）,説明不足,一般利用者,Webフォーム
130,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 11）,説明不足,市民団体,紙提出
131,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 11）,手続き懸念,地域団体,説明会
132,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 11）,代替案提案,一般利用者,Webフォーム
133,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 12）,条件付き賛成,一般利用者,Webフォーム
134,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 12）,賛成,一般利用者,紙提出
135,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 12）,反対,市民団体,Webフォーム
136,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 12）,条件付き賛成,地域団体,説明会
137,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 12）,反対,子育て団体,Webフォーム
138,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 12）,反対,自治会,紙提出
139,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 12）,条件付き賛成,高齢者団体,説明会
140,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 12）,条件付き賛成,支援団体,Webフォーム
141,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 12）,説明不足,一般利用者,Webフォーム
142,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 12）,説明不足,市民団体,紙提出
143,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 12）,手続き懸念,地域団体,説明会
144,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 12）,代替案提案,一般利用者,Webフォーム
145,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 13）,条件付き賛成,一般利用者,Webフォーム
146,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 13）,賛成,一般利用者,紙提出
147,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 13）,反対,市民団体,Webフォーム
148,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 13）,条件付き賛成,地域団体,説明会
149,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 13）,反対,子育て団体,Webフォーム
150,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 13）,反対,自治会,紙提出
151,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 13）,条件付き賛成,高齢者団体,説明会
152,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 13）,条件付き賛成,支援団体,Webフォーム
153,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 13）,説明不足,一般利用者,Webフォーム
154,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 13）,説明不足,市民団体,紙提出
155,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 13）,手続き懸念,地域団体,説明会
156,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 13）,代替案提案,一般利用者,Webフォーム
157,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 14）,条件付き賛成,一般利用者,Webフォーム
158,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 14）,賛成,一般利用者,紙提出
159,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 14）,反対,市民団体,Webフォーム
160,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 14）,条件付き賛成,地域団体,説明会
161,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 14）,反対,子育て団体,Webフォーム
162,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 14）,反対,自治会,紙提出
163,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 14）,条件付き賛成,高齢者団体,説明会
164,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 14）,条件付き賛成,支援団体,Webフォーム
165,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 14）,説明不足,一般利用者,Webフォーム
166,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 14）,説明不足,市民団体,紙提出
167,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 14）,手続き懸念,地域団体,説明会
168,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 14）,代替案提案,一般利用者,Webフォーム
169,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 15）,条件付き賛成,一般利用者,Webフォーム
170,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 15）,賛成,一般利用者,紙提出
171,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 15）,反対,市民団体,Webフォーム
172,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 15）,条件付き賛成,地域団体,説明会
173,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 15）,反対,子育て団体,Webフォーム
174,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 15）,反対,自治会,紙提出
175,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 15）,条件付き賛成,高齢者団体,説明会
176,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 15）,条件付き賛成,支援団体,Webフォーム
177,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 15）,説明不足,一般利用者,Webフォーム
178,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 15）,説明不足,市民団体,紙提出
179,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 15）,手続き懸念,地域団体,説明会
180,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 15）,代替案提案,一般利用者,Webフォーム
181,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 16）,条件付き賛成,一般利用者,Webフォーム
182,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 16）,賛成,一般利用者,紙提出
183,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 16）,反対,市民団体,Webフォーム
184,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 16）,条件付き賛成,地域団体,説明会
185,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 16）,反対,子育て団体,Webフォーム
186,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 16）,反対,自治会,紙提出
187,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 16）,条件付き賛成,高齢者団体,説明会
188,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 16）,条件付き賛成,支援団体,Webフォーム
189,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 16）,説明不足,一般利用者,Webフォーム
190,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 16）,説明不足,市民団体,紙提出
191,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 16）,手続き懸念,地域団体,説明会
192,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 16）,代替案提案,一般利用者,Webフォーム
193,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 17）,条件付き賛成,一般利用者,Webフォーム
194,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 17）,賛成,一般利用者,紙提出
195,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 17）,反対,市民団体,Webフォーム
196,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 17）,条件付き賛成,地域団体,説明会
197,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 17）,反対,子育て団体,Webフォーム
198,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 17）,反対,自治会,紙提出
199,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 17）,条件付き賛成,高齢者団体,説明会
200,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 17）,条件付き賛成,支援団体,Webフォーム
201,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 17）,説明不足,一般利用者,Webフォーム
202,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 17）,説明不足,市民団体,紙提出
203,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 17）,手続き懸念,地域団体,説明会
204,現行案だけでなく、段階導入案や時間帯別料金案など複数案を比較できると判断しやすいです。（同種意見 17）,代替案提案,一般利用者,Webフォーム
205,施設の老朽化が進んでいるので、維持管理費の一部を利用者が負担する考え方自体は理解できます。（同種意見 18）,条件付き賛成,一般利用者,Webフォーム
206,無料に近い料金のままでは将来の修繕費が不足すると思うので、根拠を示した上で見直すべきです。（同種意見 18）,賛成,一般利用者,紙提出
207,一度に倍近く上がると、定期利用している団体は活動回数を減らさざるを得ません。（同種意見 18）,反対,市民団体,Webフォーム
208,値上げする場合でも、初年度は小幅にして段階的に移行する方法を検討してほしいです。（同種意見 18）,条件付き賛成,地域団体,説明会
209,子育てサークルは参加費を低く抑えているため、部屋代が上がると参加者負担に直結します。（同種意見 18）,反対,子育て団体,Webフォーム
210,地域の自主活動まで同じ料金体系にすると、住民同士の交流の場が減るのではないでしょうか。（同種意見 18）,反対,自治会,紙提出
211,高齢者の体操教室は健康づくりにもつながるので、減免の対象として残してほしいです。（同種意見 18）,条件付き賛成,高齢者団体,説明会
212,低所得の方も使える公共施設であるため、所得や活動目的に応じた配慮が必要です。（同種意見 18）,条件付き賛成,支援団体,Webフォーム
213,なぜこの金額になるのか、算定式や維持管理費の内訳が資料からは分かりません。（同種意見 18）,説明不足,一般利用者,Webフォーム
214,近隣自治体との比較だけでなく、施設の稼働率や利用目的ごとの影響も示してほしいです。（同種意見 18）,説明不足,市民団体,紙提出
215,意見募集期間が短く、利用団体内で十分に話し合う時間がありませんでした。（同種意見 18）,手続き懸念,地域団体,説明会
