id,comment,area,age_group
24,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 2）,東部,20代
25,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 3）,北部,70代以上
26,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 3）,西部,60代
27,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 3）,東部,10代
28,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 3）,中央,10代
29,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 3）,南部,40代
30,夕方の便が少なく、駅前で長く待つことになります。（同種意見 3）,中央,30代
31,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 3）,東部,50代
32,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 3）,北部,60代
33,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 3）,南部,30代
34,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 3）,西部,40代
35,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 3）,中央,50代
36,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 3）,東部,20代
37,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 4）,北部,70代以上
38,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 4）,西部,60代
39,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 4）,東部,10代
40,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 4）,中央,10代
41,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 4）,南部,40代
42,夕方の便が少なく、駅前で長く待つことになります。（同種意見 4）,中央,30代
43,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 4）,東部,50代
44,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 4）,北部,60代
45,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 4）,南部,30代
46,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 4）,西部,40代
47,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 4）,中央,50代
48,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 4）,東部,20代
49,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 5）,北部,70代以上
50,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 5）,西部,60代
51,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 5）,東部,10代
52,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 5）,中央,10代
53,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 5）,南部,40代
54,夕方の便が少なく、駅前で長く待つことになります。（同種意見 5）,中央,30代
55,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 5）,東部,50代
56,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 5）,北部,60代
57,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 5）,南部,30代
58,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 5）,西部,40代
59,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 5）,中央,50代
60,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 5）,東部,20代
61,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 6）,北部,70代以上
62,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 6）,西部,60代
63,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 6）,東部,10代
64,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 6）,中央,10代
65,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 6）,南部,40代
66,夕方の便が少なく、駅前で長く待つことになります。（同種意見 6）,中央,30代
67,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 6）,東部,50代
68,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 6）,北部,60代
69,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 6）,南部,30代
70,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 6）,西部,40代
71,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 6）,中央,50代
72,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 6）,東部,20代
73,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 7）,北部,70代以上
74,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 7）,西部,60代
75,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 7）,東部,10代
76,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 7）,中央,10代
77,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 7）,南部,40代
78,夕方の便が少なく、駅前で長く待つことになります。（同種意見 7）,中央,30代
79,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 7）,東部,50代
80,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 7）,北部,60代
81,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 7）,南部,30代
82,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 7）,西部,40代
83,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 7）,中央,50代
84,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 7）,東部,20代
85,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 8）,北部,70代以上
86,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 8）,西部,60代
87,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 8）,東部,10代
88,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 8）,中央,10代
89,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 8）,南部,40代
90,夕方の便が少なく、駅前で長く待つことになります。（同種意見 8）,中央,30代
91,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 8）,東部,50代
92,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 8）,北部,60代
93,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 8）,南部,30代
94,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 8）,西部,40代
95,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 8）,中央,50代
96,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 8）,東部,20代
97,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 9）,北部,70代以上
98,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 9）,西部,60代
99,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 9）,東部,10代
100,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 9）,中央,10代
101,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 9）,南部,40代
102,夕方の便が少なく、駅前で長く待つことになります。（同種意見 9）,中央,30代
103,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 9）,東部,50代
104,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 9）,北部,60代
105,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 9）,南部,30代
106,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 9）,西部,40代
107,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 9）,中央,50代
108,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 9）,東部,20代
109,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 10）,北部,70代以上
110,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 10）,西部,60代
111,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 10）,東部,10代
112,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 10）,中央,10代
113,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 10）,南部,40代
114,夕方の便が少なく、駅前で長く待つことになります。（同種意見 10）,中央,30代
115,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 10）,東部,50代
116,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 10）,北部,60代
117,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 10）,南部,30代
118,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 10）,西部,40代
119,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 10）,中央,50代
120,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 10）,東部,20代
121,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 11）,北部,70代以上
122,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 11）,西部,60代
123,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 11）,東部,10代
124,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 11）,中央,10代
125,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 11）,南部,40代
126,夕方の便が少なく、駅前で長く待つことになります。（同種意見 11）,中央,30代
127,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 11）,東部,50代
128,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 11）,北部,60代
129,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 11）,南部,30代
130,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 11）,西部,40代
131,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 11）,中央,50代
132,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 11）,東部,20代
133,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 12）,北部,70代以上
134,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 12）,西部,60代
135,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 12）,東部,10代
136,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 12）,中央,10代
137,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 12）,南部,40代
138,夕方の便が少なく、駅前で長く待つことになります。（同種意見 12）,中央,30代
139,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 12）,東部,50代
140,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 12）,北部,60代
141,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 12）,南部,30代
142,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 12）,西部,40代
143,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 12）,中央,50代
144,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 12）,東部,20代
145,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 13）,北部,70代以上
146,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 13）,西部,60代
147,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 13）,東部,10代
148,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 13）,中央,10代
149,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 13）,南部,40代
150,夕方の便が少なく、駅前で長く待つことになります。（同種意見 13）,中央,30代
151,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 13）,東部,50代
152,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 13）,北部,60代
153,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 13）,南部,30代
154,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 13）,西部,40代
155,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 13）,中央,50代
156,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 13）,東部,20代
157,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 14）,北部,70代以上
158,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 14）,西部,60代
159,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 14）,東部,10代
160,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 14）,中央,10代
161,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 14）,南部,40代
162,夕方の便が少なく、駅前で長く待つことになります。（同種意見 14）,中央,30代
163,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 14）,東部,50代
164,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 14）,北部,60代
165,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 14）,南部,30代
166,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 14）,西部,40代
167,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 14）,中央,50代
168,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 14）,東部,20代
169,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 15）,北部,70代以上
170,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 15）,西部,60代
171,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 15）,東部,10代
172,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 15）,中央,10代
173,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 15）,南部,40代
174,夕方の便が少なく、駅前で長く待つことになります。（同種意見 15）,中央,30代
175,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 15）,東部,50代
176,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 15）,北部,60代
177,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 15）,南部,30代
178,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 15）,西部,40代
179,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 15）,中央,50代
180,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 15）,東部,20代
181,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 16）,北部,70代以上
182,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 16）,西部,60代
183,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 16）,東部,10代
184,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 16）,中央,10代
185,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 16）,南部,40代
186,夕方の便が少なく、駅前で長く待つことになります。（同種意見 16）,中央,30代
187,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 16）,東部,50代
188,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 16）,北部,60代
189,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 16）,南部,30代
190,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 16）,西部,40代
191,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 16）,中央,50代
192,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 16）,東部,20代
193,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 17）,北部,70代以上
194,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 17）,西部,60代
195,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 17）,東部,10代
196,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 17）,中央,10代
197,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 17）,南部,40代
198,夕方の便が少なく、駅前で長く待つことになります。（同種意見 17）,中央,30代
199,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 17）,東部,50代
200,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 17）,北部,60代
201,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 17）,南部,30代
202,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 17）,西部,40代
203,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 17）,中央,50代
204,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 17）,東部,20代
205,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 18）,北部,70代以上
206,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 18）,西部,60代
207,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 18）,東部,10代
208,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 18）,中央,10代
209,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 18）,南部,40代
210,夕方の便が少なく、駅前で長く待つことになります。（同種意見 18）,中央,30代
211,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 18）,東部,50代
212,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 18）,北部,60代
213,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 18）,南部,30代
214,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 18）,西部,40代
215,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 18）,中央,50代
216,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 18）,東部,20代
217,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 19）,北部,70代以上
218,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 19）,西部,60代
219,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 19）,東部,10代
220,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 19）,中央,10代
221,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 19）,南部,40代
222,夕方の便が少なく、駅前で長く待つことになります。（同種意見 19）,中央,30代
223,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 19）,東部,50代
224,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 19）,北部,60代
225,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 19）,南部,30代
226,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 19）,西部,40代
227,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 19）,中央,50代
228,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 19）,東部,20代
229,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 20）,北部,70代以上
230,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 20）,西部,60代
231,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 20）,東部,10代
232,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 20）,中央,10代
233,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 20）,南部,40代
234,夕方の便が少なく、駅前で長く待つことになります。（同種意見 20）,中央,30代
235,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 20）,東部,50代
236,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 20）,北部,60代
237,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 20）,南部,30代
238,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 20）,西部,40代
239,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 20）,中央,50代
240,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 20）,東部,20代
241,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 21）,北部,70代以上
242,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 21）,西部,60代
243,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 21）,東部,10代
244,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 21）,中央,10代
245,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 21）,南部,40代
246,夕方の便が少なく、駅前で長く待つことになります。（同種意見 21）,中央,30代
247,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 21）,東部,50代
248,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 21）,北部,60代
249,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 21）,南部,30代
250,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 21）,西部,40代
251,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 21）,中央,50代
252,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 21）,東部,20代
253,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 22）,北部,70代以上
254,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 22）,西部,60代
255,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 22）,東部,10代
256,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 22）,中央,10代
257,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 22）,南部,40代
258,夕方の便が少なく、駅前で長く待つことになります。（同種意見 22）,中央,30代
259,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 22）,東部,50代
260,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 22）,北部,60代
261,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 22）,南部,30代
262,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 22）,西部,40代
263,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 22）,中央,50代
264,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 22）,東部,20代
265,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 23）,北部,70代以上
266,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 23）,西部,60代
267,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 23）,東部,10代
268,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 23）,中央,10代
269,朝の通勤時間帯だけでも本数を増やしてほしいです。一本逃すと遅刻になります。（同種意見 23）,南部,40代
270,夕方の便が少なく、駅前で長く待つことになります。（同種意見 23）,中央,30代
271,電車の到着からバスの出発まで数分しかなく、乗り継げないことが多いです。（同種意見 23）,東部,50代
272,夜の会合に参加すると帰りのバスがなく、地域活動にも参加しづらいです。（同種意見 23）,北部,60代
273,デマンド交通は便利そうですが、電話予約だけだと仕事中に手続きしづらいです。（同種意見 23）,南部,30代
274,高齢者でも使える予約方法を残しつつ、家族がスマホから代理予約できるとよいです。（同種意見 23）,西部,40代
275,停留所の時刻表が古いままで、運休情報もどこを見ればよいか分かりません。（同種意見 23）,中央,50代
276,路線図、時刻表、料金を一つのページで確認できるようにしてほしいです。（同種意見 23）,東部,20代
277,免許を返納した母が病院へ行くたびに家族が送迎しており、週に数回でも直通便があると助かります。（同種意見 24）,北部,70代以上
278,スーパーまで歩くには遠く、買い物帰りの荷物を持って坂を上るのが大変です。（同種意見 24）,西部,60代
279,部活後に帰れるバスがなく、保護者の迎えが前提になっています。（同種意見 24）,東部,10代
280,駅から高校方面への便が少なく、雨の日は特に混雑します。（同種意見 24）,中央,10代
